# 2d Ising model
# L = 32
# method = heatbath
# beta_min = 0
# beta_max = 1
# N_pts_beta = 21
# h_min = 0.3
# h_max = -0.3
# N_pts_h = 21
# Ntherm 10000
# Nac 100
# Number of datapoints 1000
# beta 	 e 	 m 	 |m| 	 msq 	 h 	 - 	 cV
3.000000e-01	-7.194883e-01	1.269141e-01	1.316133e-01	2.322052e-02	6.000000e-02		3.190640e-04
3.000000e-01	-7.110039e-01	6.363281e-02	8.447266e-02	1.073843e-02	3.000000e-02		2.886585e-04
3.000000e-01	-7.042422e-01	-1.804688e-03	6.498437e-02	6.524551e-03	0.000000e+00		2.789349e-04
3.000000e-01	-7.081445e-01	-6.412305e-02	8.559961e-02	1.117649e-02	-3.000000e-02		2.889484e-04
3.000000e-01	-7.193945e-01	-1.267910e-01	1.316973e-01	2.300154e-02	-6.000000e-02		2.781131e-04
3.000000e-01	-7.354531e-01	-1.898672e-01	1.903477e-01	4.263688e-02	-9.000000e-02		3.424216e-04
3.000000e-01	-7.550664e-01	-2.449277e-01	2.450957e-01	6.577690e-02	-1.200000e-01		3.412749e-04
3.000000e-01	-7.851797e-01	-3.030039e-01	3.030039e-01	9.796333e-02	-1.500000e-01		3.979055e-04
3.000000e-01	-8.135664e-01	-3.492168e-01	3.492168e-01	1.271147e-01	-1.800000e-01		4.346665e-04
3.000000e-01	-8.445742e-01	-3.938496e-01	3.938496e-01	1.596886e-01	-2.100000e-01		4.369022e-04
3.000000e-01	-8.765898e-01	-4.365859e-01	4.365859e-01	1.946251e-01	-2.400000e-01		4.649625e-04
3.000000e-01	-9.119492e-01	-4.747500e-01	4.747500e-01	2.293914e-01	-2.700000e-01		4.995405e-04
3.000000e-01	-9.419648e-01	-5.034648e-01	5.034648e-01	2.569836e-01	-3.000000e-01		4.808311e-04

3.500000e-01	-1.294531e+00	7.195996e-01	7.195996e-01	5.197322e-01	3.000000e-01		6.929691e-04
3.500000e-01	-1.258066e+00	6.947480e-01	6.947480e-01	4.851784e-01	2.700000e-01		7.930626e-04
3.500000e-01	-1.224914e+00	6.706035e-01	6.706035e-01	4.525683e-01	2.400000e-01		7.777373e-04
3.500000e-01	-1.181926e+00	6.358594e-01	6.358594e-01	4.076064e-01	2.100000e-01		7.466875e-04
